DateTime,AddedIPs,RemovedIPs
1547927798,36,0
1547928943,56,34
1547930476,65,125
1547931383,25,1
1547932471,33,100
1547933320,67,2
1547934932,72,129
1547936142,32,59
1547937289,33,48
1547937744,29,29
1547939445,54,38
1547940725,21,142
1547942204,31,31
1547943333,22,74
1547944963,98,133
1547945784,20,3
1547946880,45,74
1547947705,33,3
1547948566,24,115
1547949385,33,4
1547950541,78,52
1547951311,30,4
1547952153,44,85
1547952992,31,0
1547954137,33,73
1547954914,14,0
1547956586,92,121
1547957680,22,91
1547959254,28,123
1547961041,51,49
1547962225,37,84
1547962947,8,49
1547964336,28,56
1547966067,63,58
1547968234,60,113
1547968477,7,1
1547970144,52,127
1547971535,25,111
1547972912,27,2
1547973747,85,118
1547975440,59,73
1547977531,97,121
1547978734,49,51
1547980403,68,119
1547981732,71,2
1547982874,42,136
1547983716,64,2
1547984558,31,81
1547986471,78,67
1547987312,74,0
1547988941,60,164
1547990063,64,60
1547991353,52,112
1547992524,43,0
1547993742,48,131
1547995237,123,87
1547996538,41,71
1547997263,26,0
1547998952,44,72
1548000093,33,315
1548001243,48,3
1548001716,28,0
1548004238,84,184
1548005438,45,166
1548006152,32,60
1548006982,17,1
1548008080,37,90
1548009635,61,119
1548011437,84,137
1548011676,8,2
1548013275,70,112
1548014182,72,3
1548015342,44,71
1548016118,37,1
1548017388,35,72
1548018632,104,83
1548019710,46,0
1548020543,13,104
1548021399,29,1
1548023314,63,81
1548025025,64,80
1548026140,28,35
1548026921,19,0
1548028524,45,153
1548029672,27,45
1548030936,36,106
1548033274,77,68
1548034884,24,163
1548036356,39,46
1548037756,47,2
1548039397,44,195
1548040542,34,96
1548041749,46,118
1548043139,35,79
1548044066,47,3
1548044914,35,0
1548046155,46,99
1548047667,61,36
1548049365,65,101
1548050186,38,0
1548051264,42,40
1548052532,46,51
1548054648,73,107
1548055706,22,1
1548057053,37,117
1548057390,32,0
1548058480,70,99
1548059310,29,4
1548061844,72,246
1548063775,95,139
1548065441,99,80
1548067356,106,100
1548069263,75,45
1548070540,60,81
1548071808,61,38
1548073716,99,69
1548075795,117,148
1548076903,55,1
1548078137,73,55
1548079563,67,38
1548080913,96,1
1548081763,44,51
1548083683,130,69
1548084516,66,0
1548085354,39,94
1548086750,47,43
1548088044,35,3
1548088113,2,0
1548089423,46,50
1548090870,72,51
1548091704,49,2
1548092544,58,104
1548094464,88,60
1548095305,35,0
1548096153,38,75
1548097838,133,62
1548098906,45,0
1548100225,109,102
1548101444,100,64
1548102729,100,110
1548104234,113,15
1548105642,55,80
1548106945,46,85
1548108342,77,56
1548109525,66,0
1548111334,113,55
1548112540,49,44
1548114523,81,116
1548115835,57,49
1548117067,33,71
1548118586,47,1
1548119737,56,87
1548120505,15,1
1548122198,57,153
1548123339,25,54
1548124962,68,92
1548125787,49,2
1548126939,111,100
1548127719,50,2
1548129391,88,40
1548130544,44,71
1548131309,46,4
1548132154,50,73
1548132987,26,1
1548134074,44,40
1548135720,91,112
1548137682,98,47
1548138514,34,0
1548140208,62,79
1548141334,54,73
1548142781,68,48
1548144946,176,115
1548145707,265,2
1548148467,780,193
1548149962,582,96
1548151536,726,121
1548152784,474,5
1548154595,718,160
1548155746,370,101
1548156518,351,1
1548157362,353,195
1548158187,293,2
1548159279,463,76
1548160105,299,2
1548160959,337,109
1548162638,624,112
1548163725,376,2
1548164897,489,155
1548166465,508,43
1548167327,286,0
1548168154,273,73
1548168996,292,0
1548170141,309,33
1548171747,537,105
1548173143,443,55
1548174341,445,3
1548175353,350,84
1548177038,454,35
1548178547,388,62
1548179677,320,26
1548180943,325,42
1548181711,193,0
1548183410,448,71
1548184466,284,84
1548185315,204,1
1548186143,249,81
1548188068,483,114
1548188902,240,0
1548189753,270,81
1548191347,402,25
1548193344,551,50
1548194184,555,4
1548195263,220,57
1548196505,464,31
1548197735,639,14
1548198874,446,24
1548200554,321,73
1548201973,191,54
1548203490,290,28
1548204633,276,10
1548205846,212,31
1548206907,166,1
1548208583,289,60
1548209699,157,31
1548210503,152,1
1548211831,173,73
1548213046,203,28
1548214843,225,76
1548215788,167,2
1548216880,168,58
1548218555,297,55
1548219396,112,1
1548220550,152,69
1548222148,222,66
1548222993,118,1
1548224139,172,26
1548225343,201,48
1548226590,153,0
1548227744,136,114
1548228511,72,4
1548230185,208,80
1548231289,145,21
1548232106,131,1
1548232962,114,83
1548233804,137,1
1548234874,160,83
1548235719,142,1
1548236557,142,82
1548237401,161,3
1548238542,202,83
1548240158,331,82
1548241858,304,54
1548243760,324,74
1548244605,194,1
1548246525,362,69
1548247350,137,73
1548249267,380,75
1548250545,227,105
1548251748,300,33
1548252938,191,96
1548253706,103,2
1548254550,154,124
1548255980,289,43
1548257323,229,1
1548258164,154,49
1548260080,375,75
1548260920,162,1
1548261743,142,105
1548262597,184,0
1548263741,230,80
1548264925,229,53
1548265359,58,19
1548266751,249,118
1548268112,293,3
1548268944,163,69
1548270887,364,164
1548271718,163,2
1548273326,265,137
1548274463,50,83
1548275305,15,2
1548278082,115,137
1548279485,27,94
1548280593,78,1
1548281685,51,86
1548282504,29,0
1548283343,26,58
1548284184,52,3
1548285335,40,59
1548286888,63,51
1548288343,21,32
1548290124,31,47
1548290565,12,16
1548292083,34,38
1548293481,29,41
1548296066,68,87
1548297446,40,177
1548299438,68,74
1548300515,35,4
1548302137,115,85
1548303333,40,31
1548304893,34,114
1548306868,50,84
1548308455,60,51
1548309404,25,3
1548310544,34,56
1548311741,31,74
1548313010,91,27
1548314065,20,58
1548315423,54,167
1548316530,38,51
1548317676,32,156
1548319345,46,274
1548320656,72,244
1548321769,42,1
1548322116,10,0
1548323307,40,327
1548324645,50,161
1548325725,37,1
1548328469,73,550
1548329306,36,0
1548330151,47,434
1548331535,48,247
1548332728,42,1
1548333763,26,418
1548335446,44,215
1548336622,54,263
1548338144,124,101
1548339337,66,243
1548340458,46,283
1548341807,34,98
1548342884,39,243
1548344145,26,371
1548346472,58,343
1548347729,35,327
1548348154,13,73
1548349844,56,244
1548351229,60,391
1548352432,35,128
1548353746,37,228
1548354516,27,1
1548356820,41,813
1548357929,33,1
1548358958,47,543
1548360879,46,311
1548362128,49,350
1548364464,94,458
1548365733,44,1061
1548366153,11,2
1548368063,81,857
1548369757,56,493
1548371682,59,383
1548372504,35,3
1548375298,49,766
1548376887,113,496
1548377786,25,2
1548378937,41,226
1548380182,44,375
1548381403,42,99
1548382534,40,260
1548384095,32,389
1548386065,51,262
1548387566,59,366
1548388589,27,128
1548389675,36,257
1548391365,38,449
1548393266,133,284
1548394956,85,531
1548395783,14,6
1548396945,45,184
1548398552,46,370
1548400482,55,222
1548402093,40,450
1548403003,23,1
1548404078,37,230
1548405747,67,474
1548407676,66,333
1548409367,55,528
1548410187,22,1
1548411342,32,310
1548412962,42,568
1548414641,76,406
1548416544,166,617
1548418479,50,395
1548420092,52,678
1548420989,30,1
1548422135,50,440
1548423699,49,624
1548424586,37,1
1548425665,47,413
1548426519,48,1
1548428187,74,686
1548429344,54,415
1548430964,40,750
1548432343,58,449
1548433711,63,2
1548435193,41,630
1548436547,29,714
1548437727,35,712
1548439537,52,789
1548440738,52,2
1548442582,64,1134
1548443662,34,611
1548444510,32,3
1548445838,39,69
1548447295,168,50
1548448112,126,2
1548449757,58,65
1548450935,33,63
1548452122,47,71
1548453335,47,14
1548454463,38,103
1548455724,23,63
1548456942,50,15
1548458147,32,23
1548458904,15,1
1548460601,53,31
1548461665,31,45
1548463345,53,56
1548465044,96,32
1548466121,43,1
1548467616,42,72
1548468877,23,40
1548470544,74,55
1548471391,70,3
1548472499,28,121
1548474135,44,71
1548476078,51,21
1548477653,39,47
1548479683,61,62
1548481356,76,53
1548482505,60,68
1548483635,26,1
1548484108,28,1
1548484958,22,71
1548486869,55,44
1548488554,35,44
1548490467,46,84
1548491318,20,0
